,trend_window,osc_range,div_threshold,symbol,period,month,trades,win,lose,profit,loss,total,winrate
49,10,0.02,2.0,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
50,10,0.02,2.0,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
51,10,0.02,2.0,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
52,10,0.02,2.0,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
53,10,0.02,2.0,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
54,10,0.02,2.0,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
55,10,0.02,2.0,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
56,10,0.02,2.0,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
57,10,0.02,2.0,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
58,10,0.02,2.0,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
59,10,0.02,2.0,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
60,10,0.02,2.0,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
61,10,0.02,2.0,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
62,10,0.02,2.0,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
63,10,0.02,2.0,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
64,10,0.02,2.0,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
65,10,0.02,2.0,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
