trend_window,osc_range,div_threshold,total,winrate,trades
10,0.02,1.5,123.49404742038848,0.3310185185185185,42
10,0.02,2.0,123.49404742038848,0.3310185185185185,42
10,0.02,2.5,123.49404742038848,0.3310185185185185,42
10,0.03,1.5,123.49404742038848,0.3310185185185185,42
10,0.03,2.0,123.49404742038848,0.3310185185185185,42
10,0.03,2.5,123.49404742038848,0.3310185185185185,42
10,0.05,1.5,123.49404742038848,0.3310185185185185,42
10,0.05,2.0,123.49404742038848,0.3310185185185185,42
10,0.05,2.5,123.49404742038848,0.3310185185185185,42
20,0.02,1.5,123.49404742038848,0.3310185185185185,42
20,0.02,2.0,123.49404742038848,0.3310185185185185,42
20,0.02,2.5,123.49404742038848,0.3310185185185185,42
20,0.03,1.5,123.49404742038848,0.3310185185185185,42
20,0.03,2.0,123.49404742038848,0.3310185185185185,42
20,0.03,2.5,123.49404742038848,0.3310185185185185,42
20,0.05,1.5,123.49404742038848,0.3310185185185185,42
20,0.05,2.0,123.49404742038848,0.3310185185185185,42
20,0.05,2.5,123.49404742038848,0.3310185185185185,42
30,0.02,1.5,123.49404742038848,0.3310185185185185,42
30,0.02,2.0,123.49404742038848,0.3310185185185185,42
30,0.02,2.5,123.49404742038848,0.3310185185185185,42
30,0.03,1.5,123.49404742038848,0.3310185185185185,42
30,0.03,2.0,123.49404742038848,0.3310185185185185,42
30,0.03,2.5,123.49404742038848,0.3310185185185185,42
30,0.05,1.5,123.49404742038848,0.3310185185185185,42
30,0.05,2.0,123.49404742038848,0.3310185185185185,42
30,0.05,2.5,123.49404742038848,0.3310185185185185,42
